origin,destination,4_7,7_10,10_13,13_16,16_19,19_22,origin_id,destination_id
2200_transmilenio-troncal,3001_transmilenio-troncal,21.666666666666668,19.9,28.516666666666666,28.516666666666666,26.75,28.15,2200,3001
2200_transmilenio-troncal,3006_transmilenio-troncal,20.633333333333336,18.733333333333334,24.48333333333333,24.48333333333333,18.866666666666667,20.166666666666668,2200,3006
2200_transmilenio-troncal,3000_transmilenio-troncal,27.166666666666668,25.4,31.9,31.9,30.133333333333333,31.8,2200,3000
2200_transmilenio-troncal,3010_transmilenio-troncal,16.46666666666667,14.566666666666666,16.2,16.2,14.8,16.1,2200,3010
2200_transmilenio-troncal,3013_transmilenio-troncal,12.6,10.7,12.766666666666666,12.766666666666666,12.5,13.8,2200,3013
2200_transmilenio-troncal,3014_transmilenio-troncal,12.866666666666665,11.033333333333333,11.233333333333333,11.233333333333333,10.966666666666667,12.266666666666667,2200,3014
2200_transmilenio-troncal,3009_transmilenio-troncal,16.53333333333333,14.833333333333332,17.9,17.9,16.5,17.8,2200,3009
2200_transmilenio-troncal,3002_transmilenio-troncal,19.96666666666667,18.2,26.816666666666666,26.816666666666666,25.05,26.45,2200,3002
2200_transmilenio-troncal,3005_transmilenio-troncal,21.116666666666664,19.65,22.716666666666665,22.716666666666665,20.633333333333333,21.933333333333334,2200,3005
2200_transmilenio-troncal,3011_transmilenio-troncal,15.666666666666668,13.766666666666666,15.833333333333332,15.833333333333332,15.566666666666666,16.866666666666667,2200,3011
2200_transmilenio-troncal,3012_transmilenio-troncal,14.15,12.25,14.316666666666666,14.316666666666666,14.05,15.350000000000001,2200,3012
2200_transmilenio-troncal,4104_transmilenio-troncal,14.866666666666667,13.8,13.799999999999999,13.799999999999999,13.533333333333333,13.783333333333335,2200,4104
2200_transmilenio-troncal,4003_transmilenio-troncal,19.216666666666665,17.316666666666666,19.599999999999998,19.599999999999998,19.133333333333333,19.583333333333332,2200,4003
2200_transmilenio-troncal,4102_transmilenio-troncal,17.75,16.783333333333335,16.78333333333333,16.78333333333333,16.416666666666668,16.76666666666667,2200,4102
2200_transmilenio-troncal,4106_transmilenio-troncal,12.483333333333334,11.3,11.299999999999999,11.299999999999999,11.033333333333333,11.3,2200,4106
2200_transmilenio-troncal,4105_transmilenio-troncal,14.0,12.816666666666666,12.816666666666666,12.816666666666666,12.55,12.816666666666666,2200,4105
2200_transmilenio-troncal,4004_transmilenio-troncal,17.5,15.6,17.883333333333333,17.883333333333333,17.416666666666668,17.866666666666667,2200,4004
2200_transmilenio-troncal,4002_transmilenio-troncal,20.016666666666666,18.116666666666667,21.016666666666666,21.016666666666666,20.55,21.0,2200,4002
